,genres,artist_popularity
SNBRN,"['bass house', 'edm', 'electro house', 'house', 'pop dance', 'pop edm', 'tropical house']",49
Little Dragon,"['alternative dance', 'alternative r&b', 'art pop', 'chillwave', 'downtempo', 'electronica', 'electropop', 'gothenburg indie', 'indie soul', 'indietronica', 'new rave', 'swedish electropop', 'swedish synthpop', 'trip hop']",61
Adult Mom,"['bubblegrunge', 'indie pop', 'indie punk', 'small room', 'transpop']",33
RITTYBO,[],17
J. Cole,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",85
Slump AK,['meme rap'],25
UMI,"['alternative r&b', 'bedroom soul', 'chill r&b', 'indie r&b', 'pop', 'r&b']",62
MANGO CROWN,[],8
The Garden,"['art punk', 'oc indie']",59
Montana of 300,"['chicago drill', 'chicago rap', 'drill', 'pop rap', 'trap']",48
The Generous Margins,"['scorecore', 'vgm instrumental']",29
MorMor,"['canadian contemporary r&b', 'indie soul']",47
Dan Mason ダン·メイソン,"['chillsynth', 'future funk', 'mallsoft', 'vaporwave']",40
Aria Wood,[],17
Jeremy Pelt,"['jazz trumpet', 'straight-ahead jazz']",32
Mike Dimes,"['rap', 'viral rap']",63
Iceboy Ben,['meme rap'],35
C P Tolliver,[],4
Rin Ishi,[],25
Madwreck,[],20
404 Guild,[],19
Tkay Maidza,"['alternative r&b', 'australian hip hop', 'escape room']",53
Luna Shadows,"['alt z', 'electropop', 'indie electropop', 'indie poptimism', 'vapor soul']",36
Miley Cyrus,"['dance pop', 'pop', 'post-teen pop']",80
Creative Self,"['focus beats', 'lo-fi beats']",45
ビクター ＭＫＩＩ,[],33
Johnnie Bailey,[],26
James Hersey,[],46
Jim-E Stack,"['vapor house', 'vapor soul']",46
Lovgirl,[],1
Drugdealer,"['indie garage rock', 'neo-psychedelic', 'psychedelic pop']",50
Joey Pecoraro,['chillhop'],51
Greydon Park Band,['background jazz'],41
ROSIE,['alt z'],50
Henace,['jazz boom bap'],23
lost spaces,['chill r&b'],44
your best friend jippy,[],51
Dylan Brady,"['escape room', 'hyperpop', 'proto-hyperpop']",57
UNBLOOM,['london on indie'],2
Pia Mia,"['dance pop', 'pop', 'post-teen pop', 'r&b', 'urban contemporary']",59
Rachel Platten,"['dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop']",61
Retro Crowd,[],35
Cheat Codes,"['dance pop', 'edm', 'electro house', 'electropop', 'pop', 'pop dance', 'pop edm', 'post-teen pop', 'tropical house']",70
C tha Future,['deep underground hip hop'],0
La Roux,"['alternative dance', 'dance pop', 'electropop', 'neo-synthpop']",63
Meadow Park,['background jazz'],51
Nova Twins,"['black punk', 'uk diy punk']",52
Djo,"['modern rock', 'psychedelic pop']",64
Sabrepulse,"['chiptune', 'nintendocore']",35
Alexa Demie,[],36
Miss Benny,[],27
GA31,['pop lgbtq+ brasileira'],26
SAKIMA,['uk alternative pop'],36
Luv.Ly,['lo-fi beats'],44
joeshort,"['chillhop', 'lo-fi beats']",28
David Archuleta,"['dance pop', 'idol', 'lds youth', 'post-teen pop', 'viral pop']",54
Call Me Karizma,"['alt z', 'minnesota hip hop', 'modern alternative rock', 'modern rock', 'pop rap', 'social media pop', 'viral rap']",58
sushileaf,[],12
Tinashe,"['alternative r&b', 'dance pop', 'electropop', 'metropopolis', 'pop', 'post-teen pop', 'r&b', 'rap', 'urban contemporary']",68
JIL,[],27
NVTHVN,[],38
Natalie,['trap soul'],36
Alex Mali,"['alternative r&b', 'chill r&b']",38
Smog,[],23
Cody Ash,['bedroom pop'],22
boy pablo,"['bedroom pop', 'bergen indie', 'norwegian indie']",65
Huncho Jack,"['hip hop', 'melodic rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",59
Geographer,"['bay area indie', 'chillwave', 'indie poptimism', 'indie rock', 'indietronica', 'shimmer pop', 'vapor soul']",41
Nightmargin,['indie game soundtrack'],42
Jonas Blue,"['dance pop', 'edm', 'pop', 'pop dance', 'tropical house', 'uk dance']",73
Jake Germain,[],14
Gnavis,[],22
Asiaten,[],6
Eryn Allen Kane,"['alternative r&b', 'neo soul']",54
B-Side,"['chillhop', 'lo-fi jazzhop']",42
Hollow Sol,[],12
Stan Forebee,"['chillhop', 'jazz boom bap', 'lo-fi jazzhop']",44
KOVID ASTRAL,[],7
INKY!,[],41
Chris Tomlin,"['ccm', 'christian alternative rock', 'christian music', 'world worship', 'worship']",66
lil Tr33zy,[],14
yeule,"['ambient pop', 'art pop', 'escape room', 'hyperpop']",45
MIA GLADSTONE,[],45
little mood,[],6
tomcbumpz,[],47
ZOMBIE-CHANG,"['j-indie', 'japanese electropop']",28
Tony Bennett,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']",66
The Central Park North,[],40
Konteks,"['chillhop', 'lo-fi jazzhop']",49
Noah Haidu,['modern jazz piano'],10
Fitz and The Tantrums,"['la indie', 'modern alternative rock', 'modern rock', 'pop rock', 'rock']",65
Huron John,"['bedroom pop', 'chill r&b', 'modern alternative pop']",39
Colin Royce,[],15
Dianna Lopez,['experimental r&b'],31
Rage Against The Machine,"['alternative metal', 'alternative rock', 'conscious hip hop', 'funk metal', 'nu metal', 'political hip hop', 'rap metal', 'rap rock', 'rock']",70
KALI,"['indie pop', 'indie r&b']",44
Martin Garrix,"['dance pop', 'dutch edm', 'edm', 'electro house', 'pop', 'pop dance', 'progressive house', 'tropical house']",75
MARYKEN,[],8
Sfire,[],24
MOONOVERSUN,[],1
American Pleasure Club,"['lo-fi indie', 'small room']",36
Surf Curse,"['dreamo', 'indie surf', 'surf punk', 'vegas indie']",69
Dave Donkin,['scorecore'],18
SVEA,['swedish pop'],39
Mark Ronson,"['dance pop', 'pop']",73
Vanilla,['chillhop'],45
BOYO,['indie garage rock'],36
Saya,[],17
Nick Leng,['vapor soul'],45
Matt Martians,"['alternative r&b', 'indie r&b', 'indie soul']",47
Saturn Genesis,['future funk'],23
Your Smith,"['indie pop', 'minneapolis indie']",47
"The Last Artful, Dodgr",['portland hip hop'],41
Phum Viphurit,['bedroom pop'],56
Slow Club,['sheffield indie'],33
Jessie Ware,"['art pop', 'british soul', 'dance pop', 'electropop', 'neo soul', 'pop', 'pop soul', 'tropical house']",61
Bilo 503,[],31
Allem Iversom,"['chillhop', 'lo-fi beats']",46
Vance Joy,"['folk-pop', 'pop']",74
Fleece,"['neo-psychedelic', 'psychedelic pop']",40
Temples,['neo-psychedelic'],44
Adot,[],33
Litany,"['electropop', 'indie pop', 'indie poptimism', 'indie soul', 'vapor soul']",47
Andrew McMahon in the Wilderness,"['hopebeat', 'indie poptimism', 'modern alternative rock', 'modern rock', 'piano rock', 'pop rock', 'stomp and holler']",49
Dj Cutman,"['lo-fi vgm', 'otacore', 'undertale', 'vgm remix']",49
Sunny Day Service,"['j-rock', 'japanese alternative rock', 'shibuya-kei']",42
Illuminate,['future funk'],27
alt-J,"['indie rock', 'modern rock']",69
Behind Clouds,['lo-fi beats'],38
Briston Maroney,"['indie pop', 'modern rock', 'nashville indie']",60
Arlo Parks,"['alternative r&b', 'indie soul', 'uk contemporary r&b']",59
Dean Martin,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']",73
The Saturdays,"['dance pop', 'europop', 'girl group', 'pop', 'pop dance', 'post-teen pop', 'tropical house', 'uk pop']",53
Cranes,"['dark wave', 'dream pop', 'ethereal wave', 'gothic rock', 'nu gaze', 'shoegaze']",36
Green Assassin Dollar,['japanese beats'],35
Saint Bodhi,[],27
The Venetian Resort Las Vegas,[],0
Sudan Archives,"['afrofuturism', 'alternative r&b', 'art pop', 'escape room', 'experimental r&b', 'indie soul', 'la pop']",51
Livin' Joy,"['disco house', 'diva house', 'hip house', 'vocal house']",45
Miso,"['chill r&b', 'korean electropop', 'korean r&b']",48
Eixo,[],6
Sobs,"['bubblegrunge', 'singaporean indie']",39
Mosaic MSC,"['anthem worship', 'ccm', 'christian music', 'world worship', 'worship']",55
Neko Case,"['alternative country', 'anti-folk', 'art pop', 'canadian indie', 'canadian singer-songwriter', 'chamber pop', 'folk', 'indie pop', 'indie rock', 'lilith', 'new americana', 'outlaw country', 'pop rock', 'roots rock', 'singer-songwriter', 'stomp and holler']",48
Manny,[],22
Mikel,['lo-fi vgm'],59
Prima,['lo-fi beats'],35
Kazam,"['chillhop', 'lo-fi beats']",37
Hana Vu,"['bedroom pop', 'indie pop']",38
Estelle,"['neo soul', 'r&b']",64
Foxygen,"['baroque pop', 'experimental pop', 'indie garage rock', 'indie rock', 'neo-psychedelic']",44
Joseph Chilliams,[],36
Izumi Makura,"['japanese chill rap', 'josei rap', 'kyushu indie']",30
Big Sean,"['detroit hip hop', 'hip hop', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap']",77
Retro Jungle,[],33
Rex Orange County,"['bedroom pop', 'pop']",77
Dean Lewis,"['australian pop', 'pop']",78
Inexorable Loyal,[],16
Crystal Waters,"['disco house', 'diva house', 'hip house', 'vocal house']",61
Astroblk,"['cdo indie', 'lo-fi rap']",30
Equity Slate,[],28
Shallou,"['electropop', 'tropical house', 'vapor soul']",60
SIILA,['australian alternative pop'],8
Ckwnce,['lo-fi beats'],13
Dusky Grey,['uk pop'],29
Jasperino,[],18
Better Off Barefoot,[],3
Petrie,[],22
MiraGold,[],25
Kuchenmann,[],18
Nina Kraviz,"['electra', 'russian electronic', 'russian techno']",45
Hakone,[],53
Hiatus Kaiyote,"['alternative r&b', 'australian r&b', 'indie jazz', 'indie soul', 'neo soul', 'shiver pop']",54
Kalaido,"['japanese chillhop', 'lo-fi beats']",46
Andrea True Connection,['disco'],36
Dolly Parton,"['classic country pop', 'country', 'country dawn']",71
WYS,['lo-fi beats'],56
Busty and the Bass,['retro soul'],46
Always Never,"['canadian contemporary r&b', 'trap soul']",49
Darren Korb,"['indie game soundtrack', 'video game music']",51
Danny Sunshine,"['escape room', 'proto-hyperpop']",7
Okay Kaya,"['alternative r&b', 'art pop', 'escape room', 'indie pop']",53
Aaryan Shah,['trap soul'],63
The Beatles,"['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']",82
The City of Birches,['background jazz'],45
Miss Sunday,[],20
vbnd,"['chill r&b', 'indie soul', 'vapor twitch']",47
Aebleo,['focus beats'],24
Miracle Musical,['indie pop'],55
Sunny & Gabe,['virginia hip hop'],20
Miraa May,"['alternative r&b', 'uk alternative hip hop', 'uk contemporary r&b']",51
Klaxons,"['alternative dance', 'dance-punk', 'indie rock', 'modern rock', 'new rave', 'rock']",50
Evil,['escape room'],26
Guerilla Toss,"['boston rock', 'garage psych']",33
Paul Moretti Trio,['background jazz'],46
sobhhï,"['gulf hip hop', 'trap soul']",38
Cold War Kids,"['alternative rock', 'indie rock', 'modern alternative rock', 'modern blues rock', 'modern rock', 'piano rock', 'rock', 'stomp and holler']",59
Let's Eat Grandma,"['art pop', 'chamber psych', 'east anglia indie']",44
duendita,"['alternative r&b', 'bedroom soul']",37
Nymano,"['chillhop', 'lo-fi beats']",43
"Slaughter Beach, Dog","['alternative emo', 'anti-folk', 'bubblegrunge', 'emo', 'indie pop', 'indie punk', 'indie rock', 'lo-fi emo', 'small room']",51
Chance the Rapper,"['chicago rap', 'conscious hip hop', 'hip hop', 'pop rap', 'rap']",74
DJ Khaled,"['hip hop', 'miami hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",78
Hailee Steinfeld,"['dance pop', 'pop', 'post-teen pop']",71
Shy Glizzy,"['dmv rap', 'drill', 'pop rap', 'rap', 'southern hip hop', 'trap', 'vapor trap']",62
Ouska,[],37
ASHWARYA,[],37
ocha,['lo-fi beats'],37
WALK THE MOON,"['dance rock', 'indie poptimism', 'modern alternative rock', 'modern rock', 'pop rock', 'rock']",67
Meltycanon,['lo-fi rap'],42
luhx.,['indie electropop'],25
The Maine,"['modern rock', 'neon pop punk', 'pop emo', 'pop punk', 'rock', 'tempe indie']",56
Kalisway,['canadian contemporary r&b'],30
The Wombats,"['liverpool indie', 'modern rock', 'rock']",65
Tahj Keeton,[],22
Zaia,['atl hip hop'],44
Mallory Merk,['bedroom soul'],31
Ruby Haunt,['dreamo'],45
Nils,['smooth jazz'],38
DLJ,['lo-fi beats'],51
Shirobon,['chiptune'],44
RAAHiiM,"['indie r&b', 'trap soul']",44
paserikaclub,[],28
Ingrid Michaelson,"['acoustic pop', 'ectofolk', 'lilith', 'neo mellow', 'pop rock']",59
Marimba Man,[],34
Clap Cotton,"['chillhop', 'lo-fi jazzhop']",33
Pink Guy,"['comedy rap', 'meme rap']",53
Grouplove,"['indie poptimism', 'indie rock', 'indietronica', 'la indie', 'modern alternative rock', 'modern rock', 'rock']",63
David Chief,[],27
spd.,[],9
MUNA,"['electropop', 'indie pop', 'indie poptimism', 'la pop', 'metropopolis', 'pop']",60
Neku,"['fnaf', 'otacore', 'undertale']",37
Jenae Ailia,[],16
JMSN,['indie soul'],46
VOEL,[],0
Lupe Fiasco,"['chicago rap', 'conscious hip hop', 'hip hop', 'political hip hop', 'pop rap', 'rap', 'southern hip hop']",65
Chris Mazuera,['lo-fi beats'],48
Michael Medrano,[],36
Hamzah,[],22
junyii.,[],25
Lil Ugly Mane,"['alternative hip hop', 'escape room', 'psychedelic hip hop', 'underground hip hop', 'virginia hip hop']",48
Avicii,"['dance pop', 'edm', 'pop', 'pop dance', 'pop rap']",80
Bobbing,['math pop'],35
iZNiiK,[],29
Comodo,[],43
Dj Tiktokker,[],16
French Montana,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",74
BVG,"['lo-fi beats', 'lo-fi chill']",50
J0eru,[],3
The Wailin' Jennys,"['folk', 'lilith', 'manitoba indie', 'new americana', 'progressive bluegrass', 'singer-songwriter', ""women's music""]",48
Ashlee Simpson,"['dance pop', 'post-teen pop']",47
Ayo & Teo,"['trap', 'viral rap']",56
Lil Mariko,"['escape room', 'hyperpop', 'pink noise', 'proto-hyperpop', 'viral rap']",50
J-E-T-S,"['uk bass', 'vapor twitch']",28
ATARASHII GAKKO!,[],45
Bickle,['modern indie pop'],39
Honshu Lo fi,"['focus beats', 'lo-fi product']",34
Zach Farache,['lo-fi beats'],35
Portugal. The Man,"['modern alternative rock', 'modern rock', 'rock']",64
ALWAYS PROPER,['phonk'],30
Black Atlass,"['canadian contemporary r&b', 'trap soul']",53
The Ophelias,"['baroque pop', 'cincinnati indie']",28
HONNE,"['pop', 'uk pop']",64
Joey Bada$$,"['conscious hip hop', 'hip hop', 'rap', 'underground hip hop']",73
Duhemsounds,"['final fantasy', 'japanese vgm']",23
Coxev,[],27
Erth Werm,[],10
Ylvis,['comic'],50
Whinnie Williams,[],12
Jitwam,"['indie jazz', 'indie soul', 'lo-fi house']",48
Sebastian Adé,[],28
Kokonoku,[],34
3rd Force,['smooth jazz'],37
Jeffery Smith,['smooth jazz'],32
Kap G,"['atl hip hop', 'chicano rap', 'melodic rap', 'trap', 'vapor trap']",46
June Jissle,[],27
Rainsford,[],39
Skrillex,"['brostep', 'complextro', 'edm', 'electro']",74
t r u m a n,[],6
The Rippingtons,['smooth jazz'],42
Working On Dying,[],32
Pathcel Tarts,[],24
Kidd Kenn,['viral rap'],41
gnash,"['pop', 'pop rap']",63
Pandaraps,['lo-fi rap'],25
Loftys Comet,[],23
John Mayer,"['neo mellow', 'singer-songwriter']",76
Lola Coca,[],27
Casper & B.,[],24
Paper Coelacanth,[],25
Pink Skies,"['chillwave', 'modern dream pop', 'vapor soul']",42
Dannii Minogue,"['australian dance', 'australian pop', 'bubblegum dance', 'dance pop', 'electropop', 'europop', 'new wave pop', 'strut', 'vocal house']",39
Chelsea Jade,"['electropop', 'indie electropop', 'indie poptimism', 'metropopolis', 'nz pop', 'vapor soul']",39
Michael Naura Quartet,['german jazz'],24
Vistas,"['edinburgh indie', 'modern alternative rock', 'modern rock', 'scottish indie rock']",49
Flux Pavilion,"['bass trap', 'brostep', 'classic dubstep', 'edm', 'electro house', 'electronic trap', 'pop dance', 'vapor twitch']",56
Hans.,[],40
Jai Paul,"['chillwave', 'escape room', 'indie soul']",45
CHLOBOCOP,['scottish hip hop'],34
L Devine,"['alt z', 'electropop', 'indie poptimism', 'uk pop']",42
Andrew Prahlow,['video game music'],49
amphee,"['lo-fi beats', 'lo-fi vgm']",27
Laffey,['lo-fi beats'],58
RR Kruz,[],11
SALVALAI,"['japanese jazz', 'japanese jazz fusion']",24
Paravi,['modern indie pop'],52
Gogi 93,[],16
Ellie Goulding,"['dance pop', 'edm', 'electropop', 'indietronica', 'metropopolis', 'pop', 'post-teen pop', 'uk pop']",78
DJ ESCO,"['atl hip hop', 'rap', 'southern hip hop', 'trap']",45
no one's perfect,[],50
Dead Gorgeous Records,[],0
Tirzah,"['alternative r&b', 'art pop', 'electra', 'electronica', 'escape room', 'experimental pop', 'indie soul', 'spectra', 'uk contemporary r&b']",45
Vhsceral,[],28
Alice Boman,"['malmo indie', 'swedish singer-songwriter']",42
Smartface,['lo-fi beats'],37
Rebounder,[],44
Rhumba Club,[],14
Quality Control,"['hip hop', 'melodic rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",66
Tank and The Bangas,"['alternative r&b', 'indie soul', 'new orleans funk']",46
Nipsey Hussle,"['conscious hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",65
Local Natives,"['indie pop', 'indie rock', 'la indie', 'modern rock', 'stomp and holler']",58
Urge Overkill,"['alternative pop', 'alternative rock']",46
Gordie Sampson,"['canadian pop', 'canadian singer-songwriter', 'cape breton indie']",12
marcos g,['chill r&b'],45
.clouds,[],49
Pat Coil,['christmas instrumental'],41
HAWA,"['escape room', 'experimental r&b', 'multidisciplinary']",32
Spacemen 3,"['alternative rock', 'art rock', 'dream pop', 'experimental', 'experimental rock', 'neo-psychedelic', 'noise pop', 'post-punk', 'shoegaze', 'space rock', 'spacegrunge']",34
Bbyafricka,[],27
Hope Sandoval & The Warm Inventions,"['alternative rock', 'art pop', 'dream pop', 'melancholia']",44
Eduardo Conmutado,[],8
Korou.,[],16
Haley Blais,"['indie pop', 'vancouver indie']",42
Joel Lyssarides,"['background jazz', 'swedish jazz']",49
He Is We,"['alternative pop rock', 'neo mellow', 'neon pop punk', 'pixie', 'pop emo', 'pop punk', 'pop rock', 'post-teen pop', 'viral pop', 'washington indie']",48
Sorry,"['art pop', 'chamber psych', 'english indie rock', 'indie rock', 'uk post-punk revival']",46
Aziya,[],25
Kent Jones,"['miami hip hop', 'viral trap']",47
IMOGEN,['london indie'],17
Ciara,"['dance pop', 'hip pop', 'pop', 'post-teen pop', 'r&b', 'urban contemporary']",68
kris tofu,[],22
Constant Z,['deep tropical house'],26
GHASTLY,"['brostep', 'dubstep', 'edm', 'electro house', 'electronic trap', 'melodic dubstep']",48
anton.,[],23
Helado Negro,['deep latin alternative'],46
Adrianne Lenker,"['art pop', 'indie folk', 'indie pop', 'indie rock', 'small room']",53
Jay Critch,"['nyc rap', 'rap', 'southern hip hop', 'trap', 'vapor trap']",57
Leisure Suite,['vapor soul'],16
H.E.R.,"['pop', 'r&b', 'rap', 'urban contemporary']",75
Simon Farintosh,[],27
Better Oblivion Community Center,['indie pop'],46
Liana Flores,['indie pop'],66
Erameld,[],36
The Trp,[],6
Slumberville,[],48
Clarence James,[],38
Travis Bickle,[],0
OurR,['k-indie'],33
closegood,[],16
Cosha,"['alternative r&b', 'irish pop']",29
Jann Arden,['lilith'],43
Kaizen 92,"['chillhop', 'focus beats', 'lo-fi beats']",24
Cornelius,"['indietronica', 'japanese alternative pop', 'shibuya-kei']",40
Alexander Oscar,['danish pop'],41
Courtney Barnett,"['australian indie', 'indie pop', 'indie rock', 'melbourne indie']",54
October,[],7
Ter.n,['focus beats'],21
Scissor Sisters,"['dance pop', 'dance rock', 'electropop']",60
88rising,"['asian american hip hop', 'pop']",68
Nyota Parker,[],13
Fallen Roses,['lo-fi cover'],57
The Staves,"['indie folk', 'indie pop', 'new americana', 'stomp and holler', 'uk americana']",53
killedmyself,"['emo rap', 'lo-fi chill']",37
Muki,['australian electropop'],29
Furkan & Jelbrim,[],13
Blue Americans,['belfast indie'],16
Su Na,"['vapor soul', 'vapor twitch']",25
Valiant Vermin,[],27
dj blackpower,['experimental hip hop'],25
Paul Mccall,[],22
Beowülf,"['lo-fi chill', 'sad lo-fi', 'sad rap']",50
Stux.Io,"['chillsynth', 'future funk', 'vaporwave']",30
Christian Nanzell,[],27
Wynton Kelly,"['bebop', 'hard bop', 'jazz', 'jazz piano', 'stride']",45
Sheck Wes,"['rap', 'trap', 'underground hip hop', 'vapor trap']",64
Lennon Stella,"['alt z', 'canadian pop', 'electropop', 'pop', 'post-teen pop']",65
Teedra Moses,"['alternative r&b', 'contemporary r&b', 'hip pop', 'neo soul', 'r&b', 'urban contemporary']",50
thelowkeytheory,[],3
Eric Marienthal,"['smooth jazz', 'smooth saxophone']",39
Blue Brew Music,['lo-fi vgm'],37
Naomi Scott,"['hollywood', 'vapor pop']",60
Hawks,[],17
Quintino,"['dutch edm', 'dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'slap house']",59
Vendredi sur Mer,"['french indie pop', 'french indietronica']",53
Pup Mekele,[],0
Lizzy Mercier Descloux,"['experimental', 'french post-punk', 'no wave', 'post-punk']",33
Catey Shaw,['indie poptimism'],37
McClenney,"['alternative r&b', 'chill r&b', 'indie r&b', 'indie soul']",41
Otxhello,['lo-fi beats'],32
Goldmyth,['utah indie'],21
Lo'fi Boy,"['lo-fi beats', 'lo-fi chill']",38
KAINA,['bedroom soul'],33
The Brilliance,"['ambient worship', 'christian uplift', 'deep ccm', 'indiecoustica', 'roots worship']",39
Black Pool,['bedroom pop'],32
STEEL_PLUS,['japanese vgm'],26
Organ Tapes,"['deconstructed club', 'escape room', 'experimental electronic', 'new isolationism']",28
HEIZE,"['k-pop', 'korean pop', 'korean r&b']",60
Arcade Fire,"['baroque pop', 'canadian indie', 'indie rock', 'modern rock', 'permanent wave', 'quebec indie', 'rock']",65
DisMissedFit,['lo-fi rap'],28
NLE Choppa,"['memphis hip hop', 'viral rap']",77
Single Friend,[],32
G-Eazy,"['indie pop rap', 'oakland hip hop', 'pop', 'pop rap', 'rap']",74
asbeluxt,[],17
Sango,"['abstract beats', 'alternative r&b', 'indie soul']",48
Mothers,['indie rock'],29
Quelle Chris,"['alternative hip hop', 'boom bap', 'escape room', 'underground hip hop']",42
Kelly Clarkson,"['dance pop', 'pop', 'post-teen pop', 'talent show']",76
Mondo Loops,['lo-fi beats'],62
Slately,[],30
Numi,[],20
Colouring,['vapor pop'],42
Lil Boodang,['dark trap'],48
BONNIE PARKER,[],24
Darude,"['eurodance', 'europop', 'finnish edm', 'trance']",57
AURORA,"['art pop', 'norwegian pop']",73
Jay Lewn,[],18
Dream Easy Collective,[],39
Gregg Karukas,['smooth jazz'],45
Hojean,['chill r&b'],53
Swervy,"['k-rap', 'korean underground rap']",42
Kate Nash,"['anti-folk', 'electropop', 'piano rock']",51
FRENSHIP,"['electropop', 'indie poptimism', 'la pop', 'pop dance', 'pop edm', 'tropical house']",53
Kenny Beats,"['hip hop', 'rap', 'trap', 'underground hip hop']",64
Empire of the Sun,"['alternative dance', 'australian dance', 'australian electropop', 'dance rock', 'electropop', 'indietronica', 'neo-synthpop']",68
OSHUN,"['afrofuturism', 'alternative r&b', 'escape room', 'high vibe', 'psychedelic hip hop']",41
MadBliss,[],28
SVDKO,[],29
Pouya,"['aesthetic rap', 'dark trap', 'emo rap', 'miami hip hop', 'underground hip hop']",68
kokoro,[],49
Rae Sremmurd,"['hip hop', 'melodic rap', 'mississippi hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",71
DJ Satomi,"['bubblegum dance', 'europop', 'hands up', 'italo dance']",41
Robbie Williams,"['dance pop', 'dance rock', 'europop']",71
Laura Elliott,['indie pop'],37
Jazzboy,[],15
Lamp,['japanese alternative pop'],61
Tony Velour,"['hyperpop', 'proto-hyperpop']",37
AREA21,"['edm', 'pop dance']",51
Viratempo,['folk brasileiro'],25
Ruby,[],25
samashi,['japanese chillhop'],29
Christina Aguilera,"['dance pop', 'pop', 'post-teen pop']",76
Lord Kael,[],38
Muse,"['modern rock', 'permanent wave', 'rock']",75
Kiiara,"['alt z', 'dance pop', 'electropop', 'indie poptimism', 'pop', 'post-teen pop']",60
L O F I L U V,[],31
Harry Teardrop,['nyc pop'],28
Ohwell,[],33
shiy,[],7
Tama Gucci,['proto-hyperpop'],33
College Music,[],0
Oliver Évilo,['background music'],38
o k h o,"['chillhop', 'lo-fi beats', 'phonk']",38
Lost Kings,"['edm', 'electro house', 'pop', 'pop dance', 'pop edm', 'pop rap', 'tropical house']",58
shy martin,"['alt z', 'electropop', 'pop', 'post-teen pop', 'swedish electropop']",63
chloe moriondo,"['alt z', 'bedroom pop', 'indie pop']",61
Zeph,"['gen z singer-songwriter', 'indie pop']",58
blnkspc_,[],36
linanthem,['chillhop'],28
Will Smith,"['dance pop', 'hip hop', 'pop rap']",66
Jeremy Blake,['focus beats'],28
smlr,[],8
Emily Hopkins,[],30
Ssion,"['alternative dance', 'electroclash', 'electropop']",26
LoFi Waiter,[],64
ako,[],15
Subfer feat. Yandi,[],0
Deffie,[],9
Bill Wurtz,[],41
NIKI,"['indonesian r&b', 'pop']",74
Marcus D,['ambeat'],41
Matt Quentin,"['chillhop', 'indie soul']",46
Sanni Harder,[],0
BRIDGE,[],46
Video Games Theme,['scorecore'],27
Edo Lee,['chillhop'],28
Melaina Kol,['lo-fi indie'],27
Florist,"['indie pop', 'lo-fi indie', 'small room']",55
Andreas Gidlund,"['background jazz', 'swedish jazz']",40
The Loyalist,[],11
Abyss X,"['deconstructed club', 'experimental club', 'multidisciplinary']",9
Katzù Oso,['bedroom pop'],35
Daya,"['alt z', 'dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'post-teen pop', 'tropical house']",69
Teezo Touchdown,[],49
Bassnectar,"['bass music', 'breakbeat', 'brostep', 'edm', 'electro house', 'electronic trap', 'glitch hop']",53
Sarah Troedsson,[],39
Jamelia,"['dance pop', 'europop']",51
Hello Yello,[],30
Netabak,[],2
Coldwaterchris,[],6
Anna Wise,['alternative r&b'],54
SYML,['pop'],70
Milk & Bone,"['canadian electropop', 'indie quebecois', 'quebec indie']",40
Kristofer Maddigan,"['indie game soundtrack', 'video game music']",50
slwfy,[],13
CopacetiCat,[],34
Suzy Jones,['pop soul'],24
Kill Bill: The Rapper,"['lo-fi rap', 'meme rap']",51
Acid Ghost,['indie garage rock'],50
digitalluc,"['chillhop', 'jazz boom bap']",35
James Earle Trio,['background jazz'],43
YJKL,['focus beats'],44
Problemas,[],6
"Squid Ethics, jhfly",[],0
Zheani,"['brisbane indie', 'dark trap', 'viral rap']",46
Colbie Caillat,"['dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop']",67
Paul McCartney,"['album rock', 'art rock', 'beatlesque', 'classic rock', 'folk rock', 'mellow gold', 'rock', 'soft rock']",70
The Jungle Giants,['australian indie'],56
Courtney Salas Group,[],42
Anoma,"['focus beats', 'lo-fi vgm']",27
Alex Moukala II,['lo-fi vgm'],26
Bethany Ann,[],0
Kaoru Akimoto,['classic city pop'],44
Android52,"['future bass', 'future funk', 'kawaii future bass']",37
Marcioz,['future bass'],27
Gillian Hills,['ye ye'],41
Jay Sean,"['dance pop', 'pop rap', 'post-teen pop', 'urban contemporary']",64
Gryffin,"['dance pop', 'edm', 'pop', 'pop dance', 'tropical house']",72
iamalex,['lo-fi beats'],50
Link Lauren,[],26
rei brown,['chill r&b'],54
HAIM,"['indie pop', 'metropopolis']",65
Blu DeTiger,['indie pop'],50
Warren Hue,['chill r&b'],54
