,genres,artist_popularity
Death Grips,"['escape room', 'experimental hip hop', 'industrial hip hop', 'underground hip hop']",58
Fishmans,"['classic j-rock', 'j-rock', 'japanese dream pop', 'shibuya-kei']",44
Sylvan Esso,"['electropop', 'etherpop', 'indie pop', 'indie rock']",57
ALASKALASKA,['london indie'],37
Chillhop Music,['lo-fi product'],32
BLACKPINK,"['k-pop', 'k-pop girl group']",85
fantompower,"['chillhop', 'lo-fi beats']",45
Qumu,"['lo-fi vgm', 'otacore', 'vgm remix']",53
Greg Spero,"['indie jazz', 'uk contemporary jazz']",35
Sabrina Claudio,"['pop', 'r&b']",62
Slim Poppins,['trap queen'],14
Curren$y,"['alternative hip hop', 'dirty south rap', 'gangster rap', 'hip hop', 'new orleans rap', 'pop rap', 'rap', 'southern hip hop', 'underground hip hop']",63
Léonie Deval,[],37
Brooklynn,['indie poptimism'],16
chief.,"['chillhop', 'lo-fi beats']",48
SwuM,"['chillhop', 'lo-fi beats', 'phonk']",52
Mitski,"['brooklyn indie', 'pop']",78
Elton Aura,['bedroom soul'],32
Baby Keem,"['hip hop', 'rap']",79
HM Surf,['lo-fi beats'],55
BIP LING,['proto-hyperpop'],22
Remi Wolf,"['indie pop', 'modern alternative pop', 'pop']",63
Citrîne,[],5
Ravyn Lenae,"['alternative r&b', 'escape room', 'indie r&b', 'indie soul', 'neo soul', 'r&b']",58
Gorillaz,['alternative hip hop'],79
Mike Taylor,[],55
Vampire Weekend,"['baroque pop', 'indie rock', 'modern rock', 'rock']",64
Thundercat,['afrofuturism'],72
Jakob,"['indie garage rock', 'indie pop']",56
Webbie,"['baton rouge rap', 'crunk', 'deep southern trap', 'dirty south rap', 'gangster rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",54
Tove Lo,"['dance pop', 'electropop', 'metropopolis', 'pop', 'swedish electropop', 'swedish pop', 'swedish synthpop']",75
Dlina Volny,['belarusian indie'],26
GwaiLow,[],20
Mother Mother,"['indie pop', 'vancouver indie']",72
Smeyeul.,"['chillhop', 'lo-fi beats']",37
Masked Man,"['chillhop', 'lo-fi beats']",45
Wolf Alice,"['indie rock', 'modern alternative rock', 'modern rock', 'rock']",60
Dounia,"['alt z', 'alternative r&b', 'electropop', 'escape room', 'high vibe']",45
A D M B,[],20
In Love With a Ghost,['kawaii future bass'],53
Softee,[],29
Mellow Fellow,['indie garage rock'],44
Still Woozy,"['bedroom pop', 'oakland indie']",67
BROCKHAMPTON,"['boy band', 'hip hop', 'pop', 'rap']",73
eugene cam,"['future bass', 'phonk', 'vapor twitch']",20
Kyle McEvoy,['neo-classical'],47
Big Thief,"['art pop', 'brooklyn indie', 'indie pop', 'indie rock', 'small room']",61
DijahSB,['indie hip hop'],45
Olivia O'Brien,"['alt z', 'dance pop', 'electropop', 'pop', 'post-teen pop']",68
Charli XCX,"['art pop', 'candy pop', 'dance pop', 'electropop', 'metropopolis', 'pop', 'post-teen pop', 'uk pop']",75
w00ds,['lo-fi chill'],41
sayso !,[],5
City Girls,"['dance pop', 'pop', 'r&b', 'rap', 'scam rap', 'trap queen']",66
Lolawolf,['electropop'],31
Vasser,['vapor soul'],25
Hozier,"['irish singer-songwriter', 'pop']",77
Otesla,"['chillhop', 'jazz boom bap', 'lo-fi beats']",32
Requin Chagrin,"['french indie pop', 'french indietronica', 'french psychedelic', 'french shoegaze']",40
Ashe,"['alt z', 'electropop', 'pop', 'post-teen pop']",70
Oatmello,"['chillhop', 'lo-fi beats']",53
Yelle,"['alternative dance', 'dance pop', 'electro-pop francais', 'electroclash', 'electronica', 'electropop', 'filter house', 'new rave']",43
Tears,[],5
Sam Webster,[],17
Neon Trees,"['modern alternative rock', 'modern rock', 'pop rock', 'rock']",64
Saint Taint,['transpop'],2
The Aces,"['alt z', 'electropop', 'indie pop', 'indie poptimism', 'pop']",50
Admiral Fallow,"['scottish folk', 'scottish indie', 'scottish rock']",26
Nicotine,['experimental r&b'],28
Austin Chen,['focus beats'],28
Cardi B,"['dance pop', 'pop', 'rap']",80
Dua Lipa,"['dance pop', 'pop', 'uk pop']",87
Chynna,"['alternative r&b', 'electra', 'escape room', 'trap queen']",38
Mujo,"['japanese chillhop', 'lo-fi beats']",57
ABRA,"['alternative r&b', 'electropop', 'escape room']",57
Kevin Gates,"['baton rouge rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",73
Randa,[],22
Somewhere Else,[],22
Maliibu Miitch,"['alternative r&b', 'escape room', 'trap queen', 'viral rap']",52
Deborah's Child,[],21
feasley,[],25
Vince Staples,"['conscious hip hop', 'hip hop', 'rap', 'underground hip hop']",67
Raveena,"['alternative r&b', 'chill r&b', 'indie r&b', 'indie soul']",56
Will Paquin,['weirdcore'],57
Bea Miller,"['alt z', 'dance pop', 'electropop', 'indie poptimism', 'pop', 'post-teen pop', 'talent show']",68
Aminé,"['hip hop', 'pop', 'portland hip hop', 'rap']",68
Slowdive,"['alternative rock', 'art pop', 'dream pop', 'nu gaze', 'reading indie', 'rock', 'shoegaze']",58
Allie X,"['alt z', 'art pop', 'canadian electropop', 'canadian pop', 'dance pop', 'dark pop', 'electropop', 'escape room', 'indie poptimism', 'metropopolis', 'pop', 'post-teen pop', 'tropical house']",54
Young Thug,"['atl hip hop', 'atl trap', 'gangster rap', 'hip hop', 'melodic rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",83
Nohidea,"['chillhop', 'lo-fi beats', 'lo-fi chill', 'lo-fi rap', 'sad lo-fi']",53
Caleb Belkin,['lo-fi beats'],39
Garoad,[],44
Amy Winehouse,"['british soul', 'neo soul']",74
Slow Pulp,"['bubblegrunge', 'chicago indie', 'indie pop', 'indie rock', 'lo-fi indie', 'nu gaze']",49
E66s,['lo-fi beats'],37
Ariana Grande,"['dance pop', 'pop']",88
Junglepussy,"['alternative r&b', 'escape room', 'trap queen']",43
MGMT,"['alternative dance', 'indietronica', 'modern rock', 'rock']",73
Dr. Dre,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",78
halberd,"['lo-fi beats', 'lo-fi rap']",47
jrd.,"['chillhop', 'lo-fi beats']",35
Charlotte Lawrence,"['alt z', 'dance pop', 'electropop', 'indie poptimism', 'pop', 'post-teen pop', 'social media pop']",60
GIMS,"['francoton', 'french hip hop', 'rap conscient']",70
Rich The Kid,"['atl hip hop', 'hip hop', 'melodic rap', 'plugg', 'pop rap', 'rap', 'southern hip hop', 'trap', 'vapor trap', 'viral rap']",67
Alice Longyu Gao,"['escape room', 'hyperpop', 'pink noise', 'viral rap']",42
Through & Through,['lo-fi beats'],29
Kelis,"['dance pop', 'electropop', 'hip pop', 'neo soul', 'r&b', 'urban contemporary']",62
Paramore,"['candy pop', 'pixie', 'pop emo', 'pop punk']",78
